#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
94,"Interstellar Cornfield Chase","Hans Zimmer,Alex Gibson,Ryan Rubin,Cameron Carpenter,Rahel Senn,NDR Radiophilharmonie,Michael England",96,8A,39,2026-01-04,02:09,47,"soundtrack, score, baroque, orchestral, ","Interstellar Cornfield Chase",2019-11-29,35,1,94,10,0,0,-13,A Minor,3,0Dpd6s2c93trtEYT35y4m9,DEE861903689
95,"Fortunate Son","Creedence Clearwater Revival",133,8B,66,2026-01-04,02:20,84,"classic rock, southern rock, country rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,64,20,1,66,0,10,-8,C Major,4,4BP3uh0hFLFRb5cjsgLqDh,USC4R0817618
96,"I'm Still Standing","Elton John",177,2B,90,2026-01-04,03:03,84,"","Too Low For Zero",1983-05-30,51,36,12,77,10,10,-7,F#/G♭ Major,4,1jDJFeK9x3OZboIAHsY9k2,GBALX8300190
97,"All The Things She Said","t.A.T.u.",180,4A,83,2026-01-04,03:34,86,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
98,"He's a Pirate","Klaus Badelt",71,6B,69,2026-01-04,01:30,67,"soundtrack","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)",2003-07-22,47,2,93,13,0,10,-11,A#/B♭ Major,4,08QaHlMPWuO5PUxjl61bXn,USWD10321341
99,"Centuries","Fall Out Boy",176,9A,86,2026-01-04,03:48,82,"emo, pop punk","American Beauty/American Psycho",2015-01-16,39,0,0,56,0,10,-3,E Minor,4,04aAxqtGp5pv12UXAg4pkq,USUM71412644
100,"The Avengers","Alan Silvestri",119,9B,55,2026-01-04,02:03,62,"soundtrack, score","The Avengers (Original Motion Picture Soundtrack)",2012-01-01,25,61,67,23,0,10,-8,G Major,4,5SXsXjVJCWeJuf7FHvgBYR,USHR11233664
101,"Billie Jean","Michael Jackson",117,10A,46,2026-01-04,04:53,87,"","Thriller",1982-11-30,93,2,4,88,0,0,-10,B Minor,4,7J1uxwnxfQLu4APicE5Rnj,USSM19902991
102,"Now You See Me 2 Main Titles","Brian Tyler",103,10A,60,2026-01-04,03:00,41,"soundtrack, score","Now You See Me 2 (Original Motion Picture Soundtrack)",2016-01-01,62,29,85,9,0,10,-10,B Minor,4,2kfyCVwpNexatN2NckQ34y,US3M51643802
103,"Behind Every Decision","Yehezkel Raz",70,2A,0,2026-01-04,01:45,63,"","Preludes, Book 2 - Torrents",2019-12-10,24,100,79,9,0,10,-38,D#/E♭ Minor,4,2kbruQXVXFmxxm4l75zuwy,IL6651901097
104,"Theme of Kaiju No. 8","Yuta Bandoh",85,5A,67,2026-01-04,01:30,31,"anime","Kaiju No. 8 (Music from the Original TV Series) -Pre Release-",2024-04-04,37,0,12,27,0,20,-8,C Minor,4,3JjtWlEbP63uFl0U8lfuKE,JPCO02406980
105,"Idea 7 (Slowed + Reverb)","Gibran Alcocer",71,1B,6,2026-01-04,03:03,49,"","Idea 7 (Remixes)",2024-02-09,46,99,91,19,0,0,-27,B Major,4,1TMjYr0cOiVgiDsatvsQPI,US3DF2406962
106,"Tchika Boum Sha","Collatéral",129,8B,86,2025-05-14,02:10,0,"","La Nuit (EP)",2024-04-13,38,0,32,54,0,30,-9,C Major,4,4w6UKpXVDJOx8bI0RAl7qR,FR9W12415464
107,"Ardeur","Collatéral",170,10B,89,2025-05-07,02:15,0,"","Accursia",2018-09-28,33,0,0,24,0,30,-5,D Major,4,0yviMrZ1kiBtE5tjaxmduv,FR0Z50034735
108,"Farmington","Collatéral",140,10B,86,2025-05-06,03:52,0,"","Pt. 1",2015-02-14,45,1,0,48,10,10,-7,D Major,4,461K73Uo3NelCoAswq8QDN,FR0Z50029133
